symbol,timestamp,price,volume,bid,ask,kinesis_timestamp,sequence_number
AAPL,2025-12-26T15:12:28.901969,133.84,6833,133.82,133.85,2025-12-26 15:12:29.001000-06:00,49670264113246220113422590907262931005714770711673831426
GOOGL,2025-12-26T15:12:28.961781,142.87,3206,142.86,142.88,2025-12-26 15:12:29.064000-06:00,49670264113246220113422590907264139931534385340848537602
MSFT,2025-12-26T15:12:29.023613,363.59,5007,363.55,363.62,2025-12-26 15:12:29.119000-06:00,49670264113246220113422590907267766708993229297092132866
AMZN,2025-12-26T15:12:29.079677,154.74,2711,154.73,154.76,2025-12-26 15:12:29.178000-06:00,49670264113246220113422590907268975634812843926266839042
JPM,2025-12-26T15:12:29.138542,135.16,1584,135.15,135.17,2025-12-26 15:12:29.232000-06:00,49670264113246220113422590907272602412271687813790957570
AAPL,2025-12-26T15:12:29.191530,132.72,2051,132.7,132.73,2025-12-26 15:12:29.287000-06:00,49670264113246220113422590907273811338091302442965663746
GOOGL,2025-12-26T15:12:29.246385,143.16,8402,143.15,143.17,2025-12-26 15:12:29.341000-06:00,49670264113246220113422590907275020263910917072140369922
MSFT,2025-12-26T15:12:29.300442,361.47,5524,361.43,361.5,2025-12-26 15:12:29.397000-06:00,49670264113246220113422590907277438115550146330489782274
AMZN,2025-12-26T15:12:29.356260,154.62,3262,154.6,154.63,2025-12-26 15:12:29.458000-06:00,49670264113246220113422590907278647041369760959664488450
JPM,2025-12-26T15:12:29.417369,134.91,3348,134.9,134.93,2025-12-26 15:12:29.513000-06:00,49670264113246220113422590907282273818828604847188606978
AAPL,2025-12-26T15:12:29.472139,132.45,4411,132.44,132.47,2025-12-26 15:12:29.567000-06:00,49670264113246220113422590907283482744648219476363313154
GOOGL,2025-12-26T15:12:29.525984,143.06,2493,143.05,143.08,2025-12-26 15:12:29.622000-06:00,49670264113246220113422590907288318447926677993062137858
MSFT,2025-12-26T15:12:29.581981,361.6,2428,361.57,361.64,2025-12-26 15:12:29.683000-06:00,49670264113246220113422590907299198780303209655634493442
